title,label
BREAKING: MALIA OBAMA EXPELLED FROM HARVARD,fake
Breaking News: FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents,fake
Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the US,fake
BREAKING: Monica Lewinsky Found Dead In Roslindale,fake
10 Things You Didn't Know About Nancy Pelosi,fake
Stephen Bannon: “Nobody Can Blame You For Beating Your Wife If It’s Out Of Love”,fake
URGENT: proposed law would charge protesters with terrorism,fake
New Law Makes it Illegal to Shower and Do Laundry on Same Day,fake
nowtrump.com,fake
Kushner And Wife Ivanka Trump Were Tossed Out Of The White House — And Donald Is Cutting Them Out Of His Will!,fake
BREAKING: Shep Smith To Be Canned Because He Can’t Control His Hate For Donald Trump,fake
Senate Report Admits Clinton ‘Gifted’ Children To Human Traffickers,fake
Facebook Picks Sides in Alabama Senate Race=> Shuts Down Gateway Pundit and Breitbart Reports on Discredited Allred Accuser,fake
"3,000-Pound Great White Shark Captured in Great Lakes",fake
Man charged with murder after driving into anti-far-right protesters in Charlottesville,fake
,fake
Pier 39 Terrorist Was an Anti-Trump Antifa Supporter,fake
Obama Announces Bid To Become UN Secretary General – Usa News,fake
Starbucks Just Placed Trump’s Photo on Floor so Every Customer have to Step On It….,fake
"Liberal Women Hate Me Because Of My “Striking Beauty And Intellect”, Says Kellyanne Conway",fake
How Donald Trump Lost the 'War on Christmas',fake
9 celebrities who say they'll move to Canada if Donald Trump becomes president,fake
ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail,fake
UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW - Departed,fake
JUST IN: Barack Obama ARRESTED in a Japanese Drug Bust,fake
"National Guard Storms Mexico Border, Makes Game-Changing Impact In Just 30 Days",fake
BREAKING: Supreme Court Issues Its First Bench Warrant Ever,fake
"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",fake
USDA approves slaughterhouses producing horse meat for human consumption,fake
International Arrest Warrant Issued for George Soros,fake
Barrack Obama Will Be On New $1 Dollar Bill 2017 – TRUEAMERICANS,fake
Lindsey Graham Threatens To Convert To Democrat If Republicans Don’t Dump Trump – True Trumpers,fake
"South African firm ordered to lay off 3,389 white employees",fake
Advantages and Disadvantages of Things,fake
Chinese lunar rover finds no evidence of American Moon landings,fake
Breaking: Mar-A-Lago Destroyed By Irma-Jared Kushner Still Missing,fake
Tens of Thousands Of Scientists Declare Climate Change A Hoax,fake
Obama Orders Life-Sized Bronze Statute of Himself To Be Permanently Installed in White House,fake
BOMBSHELL: Internet Sleuths Just Found the SMOKING GUN on Dems Planning Violence in Charlottesville,fake
New Regulation Requires 75 MPH Governor On All Motorcycles,fake
Wife of Las Vegas massacre victim: ‘He saved my life and lost his’,fake
Debbie Wasserman Schultz Aide Arrested Trying to Flee the Country,fake
Malia Obama Fired From Cushy Internship At Spanish Embassy,fake
Mental Images,fake
Libtard Hero Al Franken Forced To Resign In Disgrace,fake
"NRA President Jim Porter Falsely Accused of Saying, “It’s Only A Matter Of Time Before We Can Own Colored People Again”",fake
Buzz Aldrin ‘passes UFO lie detector test leaving experts convinced that he encountered alien life’,fake
"Kasich: “If A Woman Is Not Intelligent Enough To Keep Her Legs Closed, How Can We Entrust The Abortion Decision To Her?”",fake
Wilmington Regional Film Commission,fake
,fake
2 Liberal Democrat Congressmen Arrested For Planning Trump’s Assassination,fake
Ohio student suspended for staying in class during National Walkout Day,fake
Bill Gates’ Former Doctor Says Billionaire ‘Refused To Vaccinate His Children’,fake
LAW PASSED: All Child Support in the United States Will End by Beginning of 2018,fake
Log In ‹ Fellowship Of The Minds — WordPress,fake
Court Orders Obama To Pay $400 Million In Restitution,fake
George H.W. Bush has died at 94,fake
,fake
Food Stamp Enrollment Drops by Four Million in One Month,fake
BREAKING: 2 Million Rounds Of Ammo That ‘Went Missing’ Under Obama Turns Up In Enemy Hands,fake
Kim Jong Un Dead: North Koreans Calling Trump An Assassin,fake
Manager killed 10 employees at checkers on 183st and 27ave,fake
BREAKING: Trump Caught INVESTING in Dakota Pipeline Before Signing It,fake
archive.md,fake
82-Year-Old Who Killed A Muslim In Self-Defense Gets The Death Penalty,fake
US Representatives Agree To ‘Illicit’ UN Gun-Control Plans,fake
JUST IN: John Kerry Facing Prison,fake
"Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'",fake
Who is affected by the government shutdown?,fake
,fake
econewsmedia.org,fake
Correction: A Trump fan was charged with threathening to murder Maxine Waters after listening to right wing radio,fake
Marketing News and Business Tips,fake
THIS ARTICLE RETRACTED: Red Crescent Says No Evidence of Chemical Attack in Syria’s Douma,fake
Charleston Shooter Dylann Roof Moved to Death Row in Terre Haute Federal Prison,fake
Clinton Campaign official arrested by FBI on child rape/trafficking charges,fake
I’ll Make Sure you are Jailed- Donald Trump Tells Ghana’s Prez Mahama,fake
Political Mayhem,fake
Colorado Rockies Baseball Team To Sell Marijuana Brownies At Their Concession Stands,fake
ICE removal key goal of Democrats in 2020 election,fake
Morgan Freeman: ‘Jailing Hillary’ Best Way To ‘Restore Public Faith In Govt’,fake
BREAKING: Illegal Muslim From Iran Arrested For Starting California Wildfire,fake
BREAKING: FBI Issues Warrant For Obama’s Arrest After Confirming Illegal Trump Tower Wiretap,fake
Iranian Official Drops Bombshell: Obama Secretly Gave Citizenship to 2500 Iranians as Part of Nuke Deal,fake
Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,fake
"Legendary Actor Kirk Douglas Dead, 4 Days Before His 101st Birthday",fake
Daily Health Resource,fake
Clinton Email: We Must Destroy Syria For Israel,fake
Putin says: ‘Pope Francis Is Not A Man Of God’ | Must-See !!,fake
"BREAKING: Trump Just Gave Every WORKING, LEGAL Man Woman And Child In The USA $612 EACH! -",fake
JUST IN: Sarah Palin In A Coma After Hit And Run,fake
BREAKING: Leaked Picture Of Obama Being Dragged Before A Judge In Handcuffs For Wiretapping Trump,fake
Bachmann: “White People Have Suffered More In The Last 8 Years Than Blacks Did During Couple Years Of Slavery”,fake
Man pardoned by Obama ‘executed’ by masked men at halfway house,fake
Malia Obama Arrested With A Gang Of Thugs In Chicago,fake
Log into Facebook,fake
United Airlines Flight Attendant Slaps Crying Baby During Flight,fake
Trump’s Top Scientist Pick: “Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer”,fake
Oscar Pistorius Attempts To Commit Suicide,fake
President Trump Underscores US-Jamaica Relations – Jamaica Information Service,fake
"OBAMA CANCELED IT, TRUMP REINSTATED IT – A VERY SACRED DAY IS BACK",fake
Hillary Silent As Police Discover Dead Body Hidden In Huma Abedin’s Dumpster,fake
Log into Facebook,fake
,fake
HOLLYWOOD CELEBS: WE WILL GO ON ‘TOTAL STRIKE’ IF TRUMP DOES NOT RESIGN,fake
Obama Goes To G20 Summit,fake
Student Hasn't Stopped Filming Since Florida School Shooting,fake
WE CALLED IT! Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook ‘Signature’ (VIDEO),fake
Song Lyrics & Knowledge,fake
FACT CHECK: Trump Orders 13 Obama Deep State Operatives Arrested For Treason..,fake
About US,fake
WE WILL RIOT! Michelle Obama’s Mom Will Receive $160k Every Year Out Of Taxpayers’ Pockets!,fake
,fake
John Hagee Calls For “Prosecuting Women Who Say God’s Name During Intercourse”,fake
Carnival Cruise Lines will now offer FREE Cruises,fake
DEA Just Raided A United States Senator,fake
UsPostman.com is for sale,fake
Pro-Lifers Declare “Ejaculation Is Murder: Every Sperm Cell Is A Life”,fake
BREAKING: PUTIN INTERFERENCE COULD GIVE COURTS LEGAL RIGHT TO MAKE HILLARY PRESIDENT,fake
,fake
Kurt Russel Just SHOWED Overpaid Celebs It’s Time To Shut Up About Trump – Hits Them Where It Hurts!,fake
Robert Redford Says: Michelle And Barack Obama Should Get Five Years In Prison,fake
BREAKING: President Trump Signs Executive Order Stripping NFL Of ‘Non-Profit’ Status,fake
BREAKING: Florida Moves For FULL RECOUNT Of State Over Massive Voter Fraud (DETAILS),fake
Inside a Fake News Sausage Factory: ‘This Is All About Income’,fake
Maxine Waters Is Getting Criminally Charged!,fake
"Actress Jennifer Aniston: “Me and All The Trump Supporter Celebrities Decide To Make A Company Named “Celebrities For Trump”, Which Fight Against All Anti Trump Celebrities, I Think President Trump Ne",fake
Melania Trump undergoes kidney surgery at Walter Reed,fake
Red Hen Owner Just Issued Sick Threat To Sarah Sanders After Biz Was Destroyed By Booting Her,fake
Biden raises possibility of 2020 presidential bid,fake
BREAKING: Malia Obama SUSPENDED After Racist Anti-White Attack Goes Viral,fake
BREAKING! Roy Moore’s Accuser Worked for Democratic Leaders and Is Actively Campaigning for Moore’s Opponent ⋆ Elizabeth Johnston,fake
Snoop Dogg Arrested For Conspiracy After Talking About His ‘Murder Trump’ Video,fake
Head Of NFL Fines Steeler Teammates $1 MILLION Each!,fake
OBAMA’S PRIVATE ‘SECURITY’ COMPANY SETS UP MASSIVE CAMPS OUTSIDE 3 MAJOR CITIES,fake
- YouTube,fake
Facebook,fake
"Last in Queen Elizabeth II’s line of corgis dies, says British press",fake
Snapchat is shutting down!,fake
"New Star Wars Movie Filming Near Rosenberg, Texas, Large Number of Extras Needed – WBN 12 News",fake
HugeDomains.com,fake
"Fact-Check: No, Fall River, Massachusetts, Was Not ‘Built by Immigrants’",fake
SMOKING GUN=> San Juan Teamsters Didn’t Show Up for Work to Distribute Relief Supplies – US Aid Rotting at Ports,fake
BREAKING: Fox Star Tucker Carlson In Critical Condition After Head On Collision Driving Home,fake
usa24info.com,fake
Washington State Legislature votes to change its name because George Washington owned Slaves,fake
,fake
Trump Vows to End Winter Heating Assistance for Elderly and Disabled – Our Voice,fake
Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”,fake
,fake
,fake
"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died",fake
"World News , Live Feed & Top Stories of the year 2059",fake
JUST IN TODAY: Trey Gowdy Is The NEW DIRECTOR Of The FBI!,fake
,fake
Pope Calls for World Wide Gun Confiscation Except for the UN,fake
Investigators: Anthony Bourdain Was Killed By Clinton Operatives,fake
The Home Of Women's Stories,fake
HugeDomains.com,fake
McCain Blamed For Sabotaging Trump,fake
BREAKING: Rosa Parks’ Daughter Praises Trump’s Response to Charlottesville – forfreedomworld,fake
Breaking: Crew Of Air Force One Refuses To Fly Obama 6000 Miles ‘Just To Play Golf’ – BuzzfeedUSA,fake
Headline USA,fake
,fake
BREAKING: Nancy Pelosi Was Just Taken From Her Office In Handcuffs,fake
JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS,fake
Loading...,fake
"Donald Trump to issue an executive order to ban Facebook across US-World News , Firstpost",fake
Clinton Foundation Largest Unprosecuted Charity Fraud in History-Charles Ortel,fake
USA: Mysterious Nazi submarine from WWII discovered in Great Lakes!,fake
BREAKING: Hilary Clinton Filed For Divorce In New York Courts!,fake
"First family visits D.C. shelter, highlights homeless veterans’ plight",fake
Situs Judi Poker QQ Terpercaya,fake
BREAKING: President Trump Pardons Kim Davis,fake
Eric Trump: It would be 'foolish' for my dad to release tax returns,fake
Loading...,fake
"Executive Order Leads to Capture of ISIS Leader, Rasheed Muhammad",fake
BREAKING: Bill O’Reilly In Critical Condition After Being Attacked By ‘Tolerant’ Liberals,fake
亚搏APP手机版-官方网站,fake
Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian,fake
"Obama, Not Donald Trump, May Be Invited to Royal Wedding of Prince Harry and Meghan Markle",fake
"BREAKING: FBI Just Raided The White House, 6 People Thrown Out",fake
Twitter Caught Leaking Donald Trump's Private Messages in Undercover Sting,fake
"MUSLIMS OFFENDED THAT THEIR KIDS HAVE TO RECITE NATIONAL ANTHEM, CLAIM IT’S RACIST TO FORCE THEM TO…",fake
Delta targeted in online free airline ticket scam,fake
Jason Aldean Gig Canceled After He Sells Out To Liberals On SNL,fake
"BOOM: Roy Moore Takes The Military Vote, Pulls Ahead By 5K Votes",fake
"The hacked emails at the center of Mueller’s Russia investigation, explained",fake
Texas church shooter was a militant atheist,fake
"Melania Trump: ‘If ISIS Lay A Finger On Barron, I’ll Scratch Obama’s Eyes Out’",fake
BREAKING: Trump Removes Muslim Federal Judge For Trying To Implement Sharia Law In America,fake
Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,fake
"MITT ROMNEY: ‘TRUMP HAS SOME VERY SERIOUS EMOTIONAL PROBLEMS, HE MUST RESIGN BEFORE WE…’",fake
WORSE THAN HITLER! Trey Gowdy’s Son Found In A Dumpster In DC! Murders Are Being Questioned!,fake
BUSTED: Obama is Holding Secret Meetings to OVERTAKE the White House,fake
Loading...,fake
"Historical blog about Seattle, as well as the state of affairs today. Many facts that interest you as well as an open news portal and discussion forum. Support your native Seattle.",fake
,fake
BREAKING: Clinton Foundation Cargo Ship Raided At Port Of Baltimore Reveals Sick Secret,fake
112-Year-Old Voters in North Carolina?,fake
Account Suspended,fake
Rice told investigators why she unmasked Trump aides,fake
Fox News accidentally puts up a poll graphic that shows how they are the least trusted network,fake
"Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead",fake
White House Chef Quits Because Trump Has Only Eaten Fast Food For 6 Months,fake
"A fake photo of Emma González went viral on the far right, where Parkland teens are villains",fake
Rubio: “Rape Victims Should Be In Custody If There Is Suspicion That They’re Planning Abortion”,fake
"Statement from FDA Commissioner Scott Gottlieb, M.D., on FDA’s ongoing efforts to help improve effectiveness of influenza vaccines",fake
412 Michigan Muslims Arrested In Fed’s ‘LARGEST BUST IN U.S. HISTORY’,fake
"Bill Gates: “I think Donald Trump will go down to history as one of the greatest presidents, just like Reagan.”",fake
Singles Dating Site Beautiful wives looking casual sex Lexington,fake
Dying 78 Year Old CIA Agent Admits To Killing Marilyn Monroe – Science Vibe,fake
Clint Eastwood Leaves His Estate To The Trump 2020 Campaign,fake
TRUMP APPROVAL RATING Better than Obama and Reagan at Same Point in their Presidencies,fake
"Bin Laden is “Alive and well in the Bahamas”, says Edward Snowden",fake
Virginia Republican Wants Schools To Check Children's Genitals Before Using Bathroom,fake
Julia Roberts Claims ‘Michelle Obama Isn’t Fit to Clean Melania’s Toilet’,fake
Former presidents walk fine line in Trump’s America,fake
"Bill Murray Had This to Say About Rochester, New Hampshire Residents – News Daily 12",fake
,fake
BREAKING: President Trump Just Told Paul Ryan ‘You’re Fired’,fake
Lisa Page Squeals: DNC Server Was Not Hacked By Russia,fake
Michelle Obama Just Received LIFE-SHATTERING News From The Doctor,fake
TRUMP WANTS TO DEPORT AMERICAN INDIANS TO INDIA,fake
Full text: Jeff Flake on Trump speech transcript,fake
Mueller Will Be Forced To Resign Over Pelosi Affair,fake
CNN To Permanently Close Its Doors As Ratings Plunge 30 Percent,fake
BREAKING: Johnny Depp Taken Into Custody By Secret Service,fake
Alabama football Crimson Tide disqualified from national championship,fake
Neon Nettle,fake
"Peter Strzok, FBI Agent in Texting Scandal, Will Testify Before Congress",fake
Tom Price: “It’s Better For Our Budget If Cancer Patients Die More Quickly”,fake
1 вин букмекерская контора,fake
Target to Discontinue Sale of Holy Bible,fake
Denzel Washington hit by Facebook fake news story on Trump,fake
BREAKING: Hillary Clinton Killed In Monster Truck Mishap,fake
Donald Trump signs a visa-free travel policy for Ghana,fake
Miley Cyrus: ‘Donald Trump Is a F–king Nightmare’,fake
BOMBSHELL!! Obama Paid FBI Informant Over $1 MILLION To Do It To Trump! EVEN AFTER THE ELECTION!,fake
Clinton Body Count Series #5: Woman Set to Testify Against Clintons Blown Up in Home Explosion,fake
"Russian source behind Trump dossier killed in Russian plane crash, Rosatom CFO also dead. : conspiracy",fake
"FACT CHECK: 300,000 Pounds of Counterfeit Rat Meat Has Been Sold as Chicken Wings in The U.S...",fake
Account Suspended,fake
Target Recalls Water Absorbing Toys Due to Serious Ingestion Hazard,fake
Breaking: Greitens Accuser Admits Photo Session May Have Been A “Dream”,fake
JUST IN: WaPo Reporter Who Broke News On Judge Roy Moore Story Has A Criminal History Of “Faking”,fake
‘The Daily Show’s’ Michelle Wolf Lands Her Own Netflix Late-Night Show (Exclusive),fake
"Oprah Winfrey: The Butler, racism and Obama",fake
Log into Facebook,fake
,fake
Attorney General Sessions Statement on Recusal,fake
Freedom Daily,fake
"FOX Network Picks Up ‘Roseanne,’ Saying It Has No Problem With Occasional Racism – The Newly Press News Network – POTUS Press Network",fake
SportFella.com is for sale,fake
"Daily Vine – Dubai, UAE",fake
Leonardo DiCaprio Tells President Obama That He's Going to Mars,fake
San Juan City Council Votes Unanimously To Impeach Trump-Hating Mayor,fake
"Facebook removes, censors Declaration of Independence as ‘hate speech’ – Geller Report",fake
"Singer Dolly Parton: “Trump In One Year Is Already Better Than 16 Years’ of Bush, Obama ‘Put Together’, This Stupid Liberals Doing Everything To Impeach Him But We Standing With Trump now And Forever.",fake
Southwest Airlines 2017,fake
Naughty Adult Dating Blondes woman looking casual encounter horny asian women,fake
Trey Gowdy Breaks His Silence After 2 Of His Investigators Are Found Tortured And Killed…,fake
Apply Now and Win the Canada Diversity Immigration Visa Lottery (DV-2019) Program,fake
The CNN porn scare is how fake news spreads,fake
"No, Sandra Bullock didn't disparage Hillary Clinton",fake
Fox News' Shepard Smith: 'Why is it lie after lie after lie?' on Russia meeting,fake
Electronic Code of Federal Regulations (eCFR),fake
"Singer Tina Turner: “This Thanksgiving Is The First Time in 8 Years That I am Thankful For Our President, God Bless Him And His Supporters.” Do You Support To Tina ? – American President Donald J. Tru",fake
ViralDevil.com is for sale,fake
BREAKING: Conservative Icon Ted Nugent Killed In Hunting Accident,fake
BREAKING: There Was Someone Else On That Plane For The Secret Bill Clinton/Loretta Lynch Meeting,fake
NASA ANNOUNCED THAT IT COMMUNICATED WITH FOUR RACES OF ALIENS,fake
BREAKING: Nancy Pelosi To Resign After New Revelations – NRTOnline,fake
BREAKING: 3 Liberal Celebrities Arrested For Conspiracy To Assassinate President Trump,fake
Facebook,fake
New Jersey Police Chief Says Black People ‘Have No Value’ And Should All Be Executed,fake
Laguna Beach Antifa 22m David Hogg Didn't Attend Parkland High School I Went to School With Him at Redondo Shores High School in California and He Graduated in 2015 Here He Is in Our Yearbook From 201,fake
,fake
Log into Facebook,fake
BREAKING: CZECH REPUBLIC ARMS CITIZENS – “YOU CAN NOW SHOOT TERRORISTS ON SIGHT” – US PATRIOTS,fake
Police Discover Meth Lab In Back Room of Alabama Walmart,fake
‘Smallville’ Star Confesses She Sold Children To Rothschilds And Clintons,fake
Babysitter on Crystal Meth Eats 3-Month-Old Baby,fake
Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement,fake
The Economic Collapse,fake
British Politician Beaten by Protestors for 'Welcoming Trump to the UK',fake
"CNN Shocks America, FIRES ‘Journalist’ Who Made Fun Of Sarah Sanders’ Face",fake
Fox News Sandra Smith: “Everybody Could See From The United Airlines Passenger’s Behavior That He Was Not A Genuine American”,fake
,fake
"Somali Immigrant Crashes Car Into Ohio Families Home, Killing The Infant At Home – Daily Headlines",fake
Lady Gaga Reveals Plan To Cover Her Face Again “Until Trump Gets Fired From Office And I Feel Free Once More”,fake
"Donald Trump inauguration: Artists who won't perform at ceremony include Elton John, Celine Dion and John Legend",fake
Jimmy Carter: “Medical Marijuana Cured My Cancer”,fake
Chuck Schumers Steamy Affair With A High School Cheerleader Confirmed,fake
FBI uncovered Russian bribery plot before Obama administration approved controversial nuclear deal with Moscow,fake
‘NASA Confirms’ 15 Days Of Darkness Coming This Month,fake
Computer Models Show IRMA Destroying New York City On Sept. 10,fake
"BREAKING: British Intelligence Seizes Clinton Foundation Warehouse, $400 Million In Cash – NRTOnline",fake
WHITE SUPREMACIST WHO KILLED PROTESTER IS A DEMOCRAT AND VISITED OBAMA IN OVAL OFFICE (Updated 16.08.2017),fake
FDA Announced That Vaccines Are Causing Autism,fake
BREAKING: Trump Just Ended Welfare For One HUGE Group For 5 Years! – Let The Riots ERUPT!,fake
Texas Church Shooter Was Antifa Member Who Vowed To Start Civil War,fake
"Historical blog about Seattle, as well as the state of affairs today. Many facts that interest you as well as an open news portal and discussion forum. Support your native Seattle.",fake
conservativetown.com is for sale!,fake
FACT CHECK: Clinton Foundations Sends Water To Houston For $7 A Bottle..,fake
usalibertypress.com,fake
Mike Huckabee: Fried Squirrel Out of a Popcorn Popper,real
CQ.com,real
"McCain, Obama go head to head in last debate",real
,real
Rand Paul: We Must Demilitarize the Police,real
Ivanka Trump: Father feels 'vindicated' after Comey hearing,real
FY 2010 President's Budget,real
Change We Can Believe In,real
Barack Obama says Mitt Romney condemned coal-fired power plants as killers,real
- YouTube,real
Encounters With 'Regular Guy' Fred Thompson -- New York Magazine,real
"At Trump hotel site, immigrant workers wary",real
U.S. Senate: U.S. Senate Roll Call Votes 110th Congress,real
Births: Preliminary Data for 2005,real
Pelosi urges minimum-wage hike,real
Dr. James Dobson,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
"Care Without Coverage: Too Little, Too Late",real
"Mitch McConnell, Alison Lundergan Grimes Have 'Sharp Differences' on Campaign Finance Rules – 89.3 WFPL News Louisville",real
Part 1 of CNN Democratic presidential debate,real
"The Washington Post: Breaking News, World, US, DC News and Analysis",real
Transcript: NPR's Full Interview With Sen. Marco Rubio,real
'This Week' Transcript: Pelosi and Gates,real
Planned Parenthood® Action Center,real
Impeachment Talk Becomes a Cynical Game,real
U.S. Imports & Exports,real
Job Openings and Labor Turnover Survey News Release,real
TSA: Frequently Asked Questions,real
Laws Affecting Reproductive Health and Rights: 2013 State Policy Review,real
"Harry Reid Says GOP Should ""Stop Crying"" About Reconciliation",real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
First Presidential Debate,real
"Most heroin in U.S. now comes across Mexican border, Rob Portman says",real
Transcripts,real
"Crist has experience to be vice president, McCain says",real
'This Week' Transcript: Sen. Dianne Feinstein and Rep. Mike Rogers,real
McCain-Palin 2008,real
Op-ed by President Obama: President Obama Reflects on the Impact of Title IX,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Immigration News: Congress Eyes Changes to Trafficking Law,real
'Discriminatory animus': Trump sued on DACA,real
Massachusetts Comprehensive Assessment System,real
Part I: CNN/YouTube Democratic presidential debate transcript,real
Obama’s Remarks at the White House Health Care Forum,real
Rep. Michael McCaul (R-TX) Appears on Face the Nation,real
CES (National) : U.S. Bureau of Labor Statistics,real
- YouTube,real
PolitiFact’s annotated transcript of the second presidential debate,real
Political TV Ad Archive » PolAd,real
"Palin: Pioneer, maverick -- and now game-changer",real
"Shields and Gerson on Cabinet Noms, Gun Laws, Boehner's Leadership | PBS NewsHour | Dec. 21, 2012",real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
Statement by the President,real
,real
"In Weekly Republican Address, Boehner Calls For “New Way Forward” Focused on Creating Jobs, Cutting Spending, & Reforming Congress",real
"As Dems’ “Stimulus” Anniversary Nears, Americans Ask: “Where are the Jobs?”",real
"Key Facts: Race, Ethnicity and Medical Care",real
McCain spoke up early,real
Power & Renewable Energy Analysis,real
Obama: Gitmo inspires jihadists,real
Stop Coddling the Super-Rich - The New York Times,real
The Associated Press: Obama Hits Clinton on NAFTA Support,real
Remarks of Senator Obama: The War We Need to Win,real
"Democratic debate: Bernie Sanders really isn't as ""socialist"" as President Eisenhower",real
‘Americans need to stand together’: Hillary Clinton’s remarks following the Orlando shooting,real
MoveOn.org Political Action: 10 things to know about McCain,real
Rick Perry says he switched to GOP at a younger age than Reagan did,real
"Donald Trump, Billy Bush: Interview Scrambles Race",real
Barack Obama’s Remarks in St. Paul,real
PolitiFact,real
The Committee on Energy and Commerce,real
CQ.com,real
"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",real
U.S. Department of Defense,real
Obama’s Health Care Speech to Congress,real
John McCain for President,real
Individual Income Tax Returns Publication 1304 (Complete Report),real
Remarks by the President at GOP House Issues Conference,real
Clinton campaign’s claim that Trump would ‘force schools to allow guns in classrooms’,real
U.S. Energy Information Administration (EIA),real
Transcripts,real
"New York Officials Welcome Immigrants, Legal or Illegal",real
Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,real
Interest Group Ratings,real
- YouTube,real
Palin-Huey,real
Political TV Ad Archive » PolAd,real
Sen. Sanders warns of ‘frightening trend’ towards oligarchy,real
"Leonard Lance claims federal tax code contains 4 million words, is 7 times as long as Bible",real
Peanut Product Recall Took Company Approval,real
Remarks by the President on Responsible Homeownership,real
Remarks by the First Lady on What Health Insurance Reform Means for Women and Families,real
Political TV Ad Archive » PolAd,real
NPC Luncheon with Eric Holder,real
CES (National) : U.S. Bureau of Labor Statistics,real
"The CNN Miami Republican debate transcript, annotated",real
Trump on Prejean: Same as Obama,real
The Democratic Debate in Cleveland,real
"No Regrets for a Love Of Explosives; In a Memoir of Sorts, a War Protester Talks of Life With the Weathermen",real
'This Week' Transcript: Gen. Jim Jones (Ret.),real
A comprehensive investigation of voter impersonation finds 31 credible incidents out of one billion ballots cast,real
"To young people who are undocumented: This is your country, too.",real
Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,real
A Solar Grand Plan: Scientific American,real
Pastors To Protest IRS Rules on Political Advocacy,real
